ID,Species,capt_date,SL_mm,SL_size_class,sex,weight_g,height_mm,sample_type,area,Long,Lat,d15N,d13C,d34S,CN_ratio,comment1,comment2
BH-90011,E.lucius,2020-02-14,641,,f,1954,,Muscle,GB,13.70016,54.29596,15.4733333333333,-17.4333333333333,9.74666666666667,3.40590649869646,"",
BH-90011,E.lucius,2020-02-14,641,,f,1954,,Muscle,GB,13.70016,54.29596,15.4733333333333,-17.4333333333333,9.74666666666667,3.40590649869646,Correct amount?,
BH-90013,E.lucius,2020-02-17,688,,f,3096,,Muscle,Freshwater,13.02828,53.90387,20.17,-26.21,1.62,3.18978150082518,"",
BH-90016,E.lucius,2020-02-14,637,,f,1932,,Muscle,GB,13.70016,54.29596,15.8,-18.2741010504085,13.17,3.51318764129616,"",
BH-90017,E.lucius,2020-02-14,677,,f,2334,,Muscle,GB,13.70016,54.29596,15.56,-17.15,11.0466666666667,3.30718551103009,"",
BH-90019,E.lucius,2020-02-14,821,,f,4896,,Muscle,GB,13.70016,54.29596,15.1433333333333,-20.0823230771646,15.8433333333333,3.53084057867445,"",
BH-90021,E.lucius,2020-02-24,758,,f,3926,,Muscle,KJB,13.50877,54.47808,17.4733333333333,-19.0633333333333,7.80666666666667,3.48388538892463,"",
BH-90023,E.lucius,2020-02-17,613,,f,1958,,Muscle,Freshwater,13.02828,53.90387,19.96,-26.47,2.33,3.21994990186964,"",
BH-90025,E.lucius,2020-02-17,645,,m,2046,,Muscle,KJB,13.50849,54.47817,18.3966666666667,-18.0095479267474,8.62333333333333,3.60511340250554,Homogeneity of replicates?,
BH-90025,E.lucius,2020-02-17,645,,m,2046,,Muscle,KJB,13.50849,54.47817,18.3966666666667,-18.0095479267474,8.62333333333333,3.60511340250554,"",
BH-90028,E.lucius,2020-02-14,589,,f,1474,,Muscle,GB,13.70016,54.29596,14.55,-16.1719170452478,10.72,3.50148148148148,"",
BH-90029,E.lucius,2020-02-17,761,,f,3294,,Muscle,Freshwater,13.02828,53.90387,20.42,-26.26,2.67,3.27448337278293,"",
